Group,wk 45,wk 46,wk 47,wk 48,wk 49,wk 50,wk 51,wk 52,wk 1,wk 2,wk 3,wk 4,wk 5,wk 6,wk 7
Revenue Smithfield,12375.22,11946.28,11587.04,13789.83,15043.13,13151.21,14329.97,7305.83,11739.0,9690.76,10045.75,9269.75,12151.91,11664.3,13337.05
Revenue Rathmines,5277.25,5842.43,5898.94,7129.71,6168.66,6956.98,6914.08,3253.72,5024.94,4968.71,4892.14,4715.84,5932.17,6593.35,5205.54
Net profit (%),2907.08,369.51,115.95,-327.91,1019.96,1849.76,1422.7,-1745.9,-6002.87,1494.23,1212.64,-1895.52,1013.91,939.09,4368.55
